id,preco
"3,01E+38",7473259008373930.0
"2,80E+38",8196533263377470.0
"5,64E+37",16282481447192.0
"5,69E+37",1.23681358856955e+16
"3,39E+38",824197638908304.0
"3,05E+38",5132584690875420.0
"2,31E+38",9736680050317220.0
"1,90E+38",4.62630401507823e+16
"2,72E+37",7508872190931920.0
"1,92E+38",2186349429655470.0
"1,90E+38",4463442146413490.0
"2,16E+38",6218281632139240.0
"1,64E+38",2.26024874954023e+16
"2,21E+38",7378514980716090.0
"8,46E+37",1.00837334226407e+16
"2,00E+38",5665242371698950.0
"1,04E+38",1.50686539901217e+16
"2,26E+37",5237552005401560.0
"1,47E+38",2.59649816231568e+16
"1,18E+38",1.48360043100785e+16
"2,45E+38",2160359971065080.0
"1,62E+38",377512644517584.0
"8,78E+37",4710331699256350.0
"1,95E+38",2.01113675999796e+16
"2,85E+38",1.21102107996954e+16
"2,92E+38",1.71005341542037e+16
"1,28E+38",2.38137792345143e+16
"9,86E+37",1163123631929470.0
"2,82E+38",4088993574082610.0
"2,71E+38",8903861331164350.0
"3,24E+38",7723431499841560.0
"1,68E+38",7813852589654130.0
"1,44E+38",1.50873946075383e+16
"1,19E+38",6604982139331460.0
"1,28E+38",6592809387317070.0
"6,28E+37",1.31019872825522e+16
"3,19E+38",625482802127223.0
"2,48E+38",1.14020613294236e+16
"3,04E+38",8299127260262210.0
"4,84E+37",5273673958161360.0
"3,15E+38",2.21320957523138e+16
"1,81E+38",6185111149947050.0
"2,50E+38",4675801771548540.0
"1,61E+38",8088865483555870.0
"5,15E+37",1.40987906367355e+16
"1,32E+37",5090328251180590.0
"2,96E+38",9494988075369280.0
"8,36E+37",1.08325886726676e+16
"2,89E+38",8630470275502260.0
"1,56E+38",1.18708484614242e+16
"1,21E+38",1839669620723200.0
"1,65E+38",1.30517831976947e+16
"2,81E+38",8122507967919110.0
"1,43E+37",7906802892716660.0
"2,50E+38",9719353922895820.0
"2,91E+38",2779467519654810.0
"1,94E+38",1.18252693692019e+16
"1,55E+38",1.31380506582019e+16
"3,25E+38",22707371572439.0
"2,44E+38",6817866951473690.0
"1,59E+37",4947629520046000.0
"3,54E+37",895226377080847.0
"3,09E+38",1.59068837052833e+16
"7,08E+37",1.58038758849931e+16
"1,05E+38",6584563903837040.0
"3,29E+38",2.17524354433093e+16
"7,56E+37",1.08582421268067e+16
"1,29E+38",962487243800598.0
"9,15E+37",7376276891585130.0
"3,12E+38",4569358160885320.0
"2,76E+38",8157423011327800.0
"3,23E+38",7224363122306290.0
"3,28E+38",1.93269248801174e+16
"2,06E+38",1.13091976693406e+16
"2,87E+37",9127376751189810.0
"2,77E+38",2070891017437180.0
"2,21E+38",1.18328674588669e+16
"1,26E+38",8128701461819630.0
"2,87E+38",8753146901425810.0
"4,70E+37",3640102024057300.0
"2,22E+38",1.74477375041553e+16
"3,13E+38",1.41675382112125e+16
"2,02E+38",5733558110224370.0
"7,21E+37",1.3280687931702e+16
"1,41E+38",1.2976676541649e+16
"2,11E+38",1599244544296700.0
"2,86E+38",643794005861117.0
"2,43E+38",1.00950448464624e+16
"1,06E+38",7718241162591590.0
"3,82E+37",1655506018130310.0
"2,72E+38",1.71309918067961e+16
"1,43E+38",1631759431491120.0
"5,94E+37",6955700861356360.0
"1,65E+38",1.36236750947616e+16
"1,25E+38",5014175682002890.0
"3,12E+38",7290331670514720.0
"3,06E+38",1280378859945260.0
"3,87E+37",5611812581093760.0
"3,92E+37",1.11030374557802e+16
"1,87E+38",9670633977985610.0
"4,51E+37",1253863992131650.0
"2,93E+37",9550800349905970.0
"1,59E+38",4091167906428240.0
"2,82E+38",2750186887076470.0
"1,97E+38",1.62307746201838e+16
"2,95E+38",1.68934431805824e+16
"1,17E+38",566149144860793.0
"3,26E+38",2.84712801400716e+16
"2,62E+38",4.41620422223772e+16
"3,08E+38",3805459445491360.0
"7,52E+37",8338103584025640.0
"1,48E+38",4636359386009240.0
"3,37E+38",2.99250909320878e+16
"3,18E+38",1.2471058384517e+16
"2,52E+38",1.1025951010497e+16
"1,61E+38",1.41359627335487e+16
"2,76E+38",1744368124861750.0
"1,59E+38",1.32871400590809e+16
"2,78E+38",1.14612030272848e+16
"3,32E+38",1.63955244865796e+16
"3,20E+38",9519064874255100.0
"2,06E+38",1924269046158310.0
"4,29E+36",7130997984591300.0
"1,83E+38",8104393055650470.0
"2,19E+38",1.41817571419394e+16
"2,72E+38",1.20874843252163e+16
"1,75E+38",6052748736186960.0
"1,00E+38",1475441864762720.0
"1,64E+38",1581888534449.0
"2,45E+38",1534630990029450.0
"2,79E+38",3160842402549730.0
"2,69E+38",2419052405841630.0
"2,91E+38",9640564574439440.0
"2,28E+38",2.27339738242257e+16
"2,64E+38",7746480410612560.0
"2,36E+38",2714982657537790.0
"3,01E+38",1920337231584390.0
"1,66E+38",8971144519098970.0
"3,31E+38",1.20751203946747e+16
"1,72E+38",1.53400277932306e+16
"2,72E+38",1.19356445180023e+16
"1,54E+38",4794112560196470.0
"2,00E+38",9662098997963060.0
"4,02E+37",1.18242792463609e+16
"3,29E+38",5867512533778760.0
"8,97E+37",1.32064189589028e+16
"2,37E+38",2298022778700700.0
"1,67E+38",4827658163021130.0
"6,98E+37",8986980556480440.0
"1,58E+38",2686258323705170.0
"1,61E+38",1.62128963124239e+16
"2,79E+38",1776853101941280.0
"3,37E+36",1.03262714191501e+16
"1,72E+38",2.73350661547358e+16
"1,47E+38",1912176109579240.0
"1,99E+38",756076116051126.0
"2,40E+38",6957342876973080.0
"2,07E+38",3681825306351580.0
"7,72E+37",5208083508425480.0
"1,03E+38",3671949505188070.0
"2,58E+37",7570068388623520.0
"4,07E+37",1.84709709112724e+16
"1,91E+38",112536113720359.0
"3,26E+38",53322939274832.0
"2,65E+38",1.97096237802105e+16
"2,11E+38",1.66002680002466e+16
"3,22E+38",1.04285499110033e+16
"2,92E+38",19382420206949.0
"1,71E+38",1.94147962767845e+16
"1,95E+38",8043634118113270.0
"1,23E+38",8218621571025790.0
"3,19E+38",1.10698617278496e+16
"1,87E+38",8036333957716700.0
"2,23E+38",1075790421449630.0
"1,67E+38",6025197850772940.0
"2,45E+38",7055574423121100.0
"1,19E+38",4456708547121700.0
"3,04E+38",1125354731460760.0
"2,83E+38",3790639685264740.0
"3,25E+38",1428566236954590.0
"1,82E+38",8038592300565850.0
"1,62E+38",6569942654518360.0
"3,60E+37",9143266724875620.0
"1,69E+38",4580102479298080.0
"9,34E+37",5950652999304060.0
"1,37E+38",808215678911951.0
"1,83E+38",1958099463578720.0
"2,58E+38",2008092331934210.0
"2,39E+38",7333966346273690.0
"3,38E+38",3556860757154690.0
"5,93E+37",815602401382883.0
"2,62E+38",8336231415433900.0
"1,24E+38",9055502319913440.0
"2,05E+38",3.5343769590885e+16
"1,99E+38",1082382753339040.0
"2,36E+37",1.68552074406876e+16
"1,88E+38",1.11669743119346e+16
"7,24E+37",7944364118428070.0
"1,57E+38",1.1120937330552e+16
